population	37
variant	28
susceptibility	24
loci	24
trait	20
variation	19
genome-wide	19
allele	18
genome	17
snp	16
class	15
polymorphic	15
decline	15
locus	15
diverse	14
alzheimer	13
eqtl	13
risk	12
number	11
evidence	11
influence	11
provide	11
cd33	11
african	10
cognitive	10
recent	10
common	10
cr1	10
replicated	9
individual	9
regulatory	9
european	9
positive	9
case	9
ancestry	9
multiple	8
mhc	8
contain	8
set	8
haplotype	8
quantitative	7
among	7
region	7
cd84	7
memory	7
shared	7
pathogen	7
perform	7
alzheimer's	6
