oxidizer	11
recycle	10
water	10
effluents	6
technologies	6
removal	5
fenton	5
microbiology	5
h2o2	4
liquid	4
treatment	4
operating	4
costs	4
toxic	4
wwtu	4
industrial	4
adsorption	3
carbon	3
reduction	3
micropollutants	3
reuse	3
emerging	3
salts	3
environmental	3
microfluidic	3
resources	3
chemical	3
phytotechnologies	3
bioaugmentation	3
tools	3
advanced	3
scale	2
needed	2
expansion	2
regulation	2
aop6	2
implementation	2
energy	2
litterature	2
applied	2
expertise	2
primary	2
main	2
review	2
propose	2
technical	2
reverse	2
promising	2
start	2
optimization	2
immobilized	2
peroxidation	2
heterogeneous	2
sub	2
biosurfactants	2
benchmark	2
bio	2
tend	2
suschem	2
so2	2
nanofiltration	2
separation	2
enzymes	2
osmosis	2
optimisation	2
micro-pollutants	2
nox	2
chemwater	2
outpassed	1
solvay	1
congress	1
plan	1
will	1
coming	1
strategic	1
